impact,forecast,currency,weekday,time,date,event
holiday,,CAD,Fri,All Day,2016-01-01,Bank Holiday
holiday,,CHF,Fri,All Day,2016-01-01,Bank Holiday
holiday,,EUR,Fri,All Day,2016-01-01,French Bank Holiday
holiday,,EUR,Fri,All Day,2016-01-01,German Bank Holiday
holiday,,EUR,Fri,All Day,2016-01-01,Italian Bank Holiday
holiday,,GBP,Fri,All Day,2016-01-01,Bank Holiday
holiday,,USD,Fri,All Day,2016-01-01,Bank Holiday
,,,Sat,,2016-01-02,
medium,,USD,Sun,1:15pm,2016-01-03,FOMC Member Fischer Speaks
low,,AUD,Sun,5:30pm,2016-01-03,AIG Manufacturing Index
medium,,USD,Sun,5:30pm,2016-01-03,FOMC Member Mester Speaks
low,52.5,JPY,Sun,8:35pm,2016-01-03,Final Manufacturing PMI
high,48.9,CNY,Sun,8:45pm,2016-01-03,Caixin Manufacturing PMI
holiday,,NZD,Sun,All Day,2016-01-03,Bank Holiday
high,49.1,USD,Mon,10:00am,2016-01-04,ISM Manufacturing PMI
low,0.7%,USD,Mon,10:00am,2016-01-04,Construction Spending m/m
low,36.5,USD,Mon,10:00am,2016-01-04,ISM Manufacturing Prices
low,,JPY,Mon,10:45pm,2016-01-04,10-y Bond Auction
low,,AUD,Mon,12:30am,2016-01-04,Commodity Prices y/y
medium,53.1,EUR,Mon,3:15am,2016-01-04,Spanish Manufacturing PMI
low,50.2,CHF,Mon,3:30am,2016-01-04,Manufacturing PMI
low,54.9,EUR,Mon,3:45am,2016-01-04,Italian Manufacturing PMI
low,51.6,EUR,Mon,3:50am,2016-01-04,French Final Manufacturing PMI
low,53.0,EUR,Mon,3:55am,2016-01-04,German Final Manufacturing PMI
low,53.1,EUR,Mon,4:00am,2016-01-04,Final Manufacturing PMI
high,52.8,GBP,Mon,4:30am,2016-01-04,Manufacturing PMI
medium,4.9B,GBP,Mon,4:30am,2016-01-04,Net Lending to Individuals m/m
low,0.5%,GBP,Mon,4:30am,2016-01-04,M4 Money Supply m/m
low,70K,GBP,Mon,4:30am,2016-01-04,Mortgage Approvals
low,33.2%,JPY,Mon,6:50pm,2016-01-04,Monetary Base y/y
low,,CAD,Mon,9:30am,2016-01-04,RBC Manufacturing PMI
low,51.1,USD,Mon,9:45am,2016-01-04,Final Manufacturing PMI
medium,0.2%,EUR,Mon,All Day,2016-01-04,German Prelim CPI m/m
medium,-52.6K,EUR,Tue,3:00am,2016-01-05,Spanish Unemployment Change
medium,-7K,EUR,Tue,3:55am,2016-01-05,German Unemployment Change
high,56.1,GBP,Tue,4:30am,2016-01-05,Construction PMI
medium,0.4%,EUR,Tue,5:00am,2016-01-05,CPI Flash Estimate y/y
medium,1.0%,EUR,Tue,5:00am,2016-01-05,Core CPI Flash Estimate y/y
low,0.1%,EUR,Tue,5:00am,2016-01-05,Italian Prelim CPI m/m
low,,AUD,Tue,5:30pm,2016-01-05,AIG Services Index
low,,GBP,Tue,5:33am,2016-01-05,10-y Bond Auction
low,,GBP,Tue,7:01pm,2016-01-05,BRC Shop Price Index y/y
medium,-2.3%,CAD,Tue,8:30am,2016-01-05,RMPI m/m
low,0.1%,CAD,Tue,8:30am,2016-01-05,IPPI m/m
medium,52.3,CNY,Tue,8:45pm,2016-01-05,Caixin Services PMI
high,,NZD,Tue,9:07am,2016-01-05,GDT Price Index
low,18.1M,USD,Tue,All Day,2016-01-05,Total Vehicle Sales
high,56.0,USD,Wed,10:00am,2016-01-06,ISM Non-Manufacturing PMI
medium,-0.2%,USD,Wed,10:00am,2016-01-06,Factory Orders m/m
medium,0.7M,USD,Wed,10:30am,2016-01-06,Crude Oil Inventories
low,,JPY,Wed,10:45pm,2016-01-06,30-y Bond Auction
high,,USD,Wed,2:00pm,2016-01-06,FOMC Meeting Minutes
low,56.9,EUR,Wed,3:15am,2016-01-06,Spanish Services PMI
low,53.8,EUR,Wed,3:45am,2016-01-06,Italian Services PMI
low,50.0,EUR,Wed,3:50am,2016-01-06,French Final Services PMI
low,55.4,EUR,Wed,3:55am,2016-01-06,German Final Services PMI
low,53.9,EUR,Wed,4:00am,2016-01-06,Final Services PMI
high,55.6,GBP,Wed,4:30am,2016-01-06,Services PMI
low,-0.2%,EUR,Wed,5:00am,2016-01-06,PPI m/m
high,-2.8%,AUD,Wed,7:30pm,2016-01-06,Building Approvals m/m
high,-2.98B,AUD,Wed,7:30pm,2016-01-06,Trade Balance
high,193K,USD,Wed,8:15am,2016-01-06,ADP Non-Farm Employment Change
high,-2.6B,CAD,Wed,8:30am,2016-01-06,Trade Balance
high,-44.0B,USD,Wed,8:30am,2016-01-06,Trade Balance
low,55.1,USD,Wed,9:45am,2016-01-06,Final Services PMI
holiday,,EUR,Wed,All Day,2016-01-06,Italian Bank Holiday
medium,56.7,CAD,Thu,10:00am,2016-01-07,Ivey PMI
low,-95B,USD,Thu,10:30am,2016-01-07,Natural Gas Storage
medium,0.1%,EUR,Thu,2:00am,2016-01-07,German Factory Orders m/m
medium,0.5%,EUR,Thu,2:00am,2016-01-07,German Retail Sales m/m
medium,,CHF,Thu,3:00am,2016-01-07,Foreign Currency Reserves
medium,0.5%,GBP,Thu,3:00am,2016-01-07,Halifax HPI m/m
low,11.5%,EUR,Thu,4:00am,2016-01-07,Italian Monthly Unemployment Rate
low,,EUR,Thu,4:10am,2016-01-07,Retail PMI
low,,EUR,Thu,4:59am,2016-01-07,French 10-y Bond Auction
medium,10.7%,EUR,Thu,5:00am,2016-01-07,Unemployment Rate
low,0.2%,EUR,Thu,5:00am,2016-01-07,Retail Sales m/m
low,,AUD,Thu,5:30pm,2016-01-07,AIG Construction Index
low,,JPY,Thu,7:00pm,2016-01-07,BOJ Summary of Opinions
low,,USD,Thu,7:30am,2016-01-07,Challenger Job Cuts y/y
high,0.4%,AUD,Thu,7:30pm,2016-01-07,Retail Sales m/m
high,,CAD,Thu,8:25am,2016-01-07,BOC Gov Poloz Speaks
high,271K,USD,Thu,8:30am,2016-01-07,Unemployment Claims
low,0.7%,JPY,Thu,8:30pm,2016-01-07,Average Cash Earnings y/y
low,0.0%,USD,Fri,10:00am,2016-01-08,Final Wholesale Inventories m/m
low,103.9%,JPY,Fri,12:00am,2016-01-08,Leading Indicators
low,3.4%,CHF,Fri,1:45am,2016-01-08,Unemployment Rate
low,0.4%,EUR,Fri,2:00am,2016-01-08,German Industrial Production m/m
low,20.1B,EUR,Fri,2:00am,2016-01-08,German Trade Balance
low,-0.2%,EUR,Fri,2:45am,2016-01-08,French Industrial Production m/m
low,-4.0B,EUR,Fri,2:45am,2016-01-08,French Trade Balance
low,18.7B,USD,Fri,3:00pm,2016-01-08,Consumer Credit m/m
low,-0.2%,CHF,Fri,3:15am,2016-01-08,CPI m/m
medium,-10.5B,GBP,Fri,4:30am,2016-01-08,Goods Trade Balance
high,10.4K,CAD,Fri,8:30am,2016-01-08,Employment Change
high,7.1%,CAD,Fri,8:30am,2016-01-08,Unemployment Rate
medium,-3.2%,CAD,Fri,8:30am,2016-01-08,Building Permits m/m
high,0.2%,USD,Fri,8:30am,2016-01-08,Average Hourly Earnings m/m
high,203K,USD,Fri,8:30am,2016-01-08,Non-Farm Employment Change
high,5.0%,USD,Fri,8:30am,2016-01-08,Unemployment Rate
high,1.7%,CNY,Fri,8:30pm,2016-01-08,CPI y/y
medium,-5.8%,CNY,Fri,8:30pm,2016-01-08,PPI y/y
,,,Sat,,2016-01-09,
low,,NZD,Sun,4:45pm,2016-01-10,Building Consents m/m
low,,AUD,Sun,7:30pm,2016-01-10,ANZ Job Advertisements m/m
holiday,,JPY,Sun,All Day,2016-01-10,Bank Holiday
medium,,CAD,Mon,10:30am,2016-01-11,BOC Business Outlook Survey
low,0.3%,CHF,Mon,3:15am,2016-01-11,Retail Sales y/y
low,11.5,EUR,Mon,4:30am,2016-01-11,Sentix Investor Confidence
