impact,forecast,currency,weekday,time,date,event
holiday,,AUD,Sun,All Day,2017-01-01,Bank Holiday
holiday,,CNY,Sun,All Day,2017-01-01,Bank Holiday
holiday,,JPY,Sun,All Day,2017-01-01,Bank Holiday
holiday,,NZD,Sun,All Day,2017-01-01,Bank Holiday
medium,54.6,EUR,Mon,3:15am,2017-01-02,Spanish Manufacturing PMI
low,52.3,EUR,Mon,3:45am,2017-01-02,Italian Manufacturing PMI
low,53.5,EUR,Mon,3:50am,2017-01-02,French Final Manufacturing PMI
low,55.5,EUR,Mon,3:55am,2017-01-02,German Final Manufacturing PMI
low,54.9,EUR,Mon,4:00am,2017-01-02,Final Manufacturing PMI
low,,AUD,Mon,5:30pm,2017-01-02,AIG Manufacturing Index
high,50.9,CNY,Mon,8:45pm,2017-01-02,Caixin Manufacturing PMI
holiday,,CAD,Mon,All Day,2017-01-02,Bank Holiday
holiday,,CHF,Mon,All Day,2017-01-02,Bank Holiday
holiday,,GBP,Mon,All Day,2017-01-02,Bank Holiday
holiday,,JPY,Mon,All Day,2017-01-02,Bank Holiday
holiday,,NZD,Mon,All Day,2017-01-02,Bank Holiday
holiday,,USD,Mon,All Day,2017-01-02,Bank Holiday
high,53.7,USD,Tue,10:00am,2017-01-03,ISM Manufacturing PMI
low,0.5%,USD,Tue,10:00am,2017-01-03,Construction Spending m/m
low,55.6,USD,Tue,10:00am,2017-01-03,ISM Manufacturing Prices
low,,AUD,Tue,12:33am,2017-01-03,Commodity Prices y/y
low,0.5%,EUR,Tue,2:45am,2017-01-03,French Prelim CPI m/m
low,56.1,CHF,Tue,3:30am,2017-01-03,Manufacturing PMI
medium,-5K,EUR,Tue,3:55am,2017-01-03,German Unemployment Change
high,53.3,GBP,Tue,4:30am,2017-01-03,Manufacturing PMI
low,,GBP,Tue,7:01pm,2017-01-03,BRC Shop Price Index y/y
low,51.9,JPY,Tue,7:30pm,2017-01-03,Final Manufacturing PMI
high,,NZD,Tue,9:09am,2017-01-03,GDT Price Index
low,,CAD,Tue,9:30am,2017-01-03,RBC Manufacturing PMI
low,54.2,USD,Tue,9:45am,2017-01-03,Final Manufacturing PMI
medium,0.6%,EUR,Tue,All Day,2017-01-03,German Prelim CPI m/m
low,,JPY,Wed,10:45pm,2017-01-04,10-y Bond Auction
high,,USD,Wed,2:00pm,2017-01-04,FOMC Meeting Minutes
medium,-44.2K,EUR,Wed,3:00am,2017-01-04,Spanish Unemployment Change
low,54.8,EUR,Wed,3:15am,2017-01-04,Spanish Services PMI
low,52.7,EUR,Wed,3:45am,2017-01-04,Italian Services PMI
low,52.6,EUR,Wed,3:50am,2017-01-04,French Final Services PMI
low,53.8,EUR,Wed,3:55am,2017-01-04,German Final Services PMI
low,53.1,EUR,Wed,4:00am,2017-01-04,Final Services PMI
high,52.6,GBP,Wed,4:30am,2017-01-04,Construction PMI
medium,4.9B,GBP,Wed,4:30am,2017-01-04,Net Lending to Individuals m/m
low,1.4%,GBP,Wed,4:30am,2017-01-04,M4 Money Supply m/m
low,69K,GBP,Wed,4:30am,2017-01-04,Mortgage Approvals
medium,1.0%,EUR,Wed,5:00am,2017-01-04,CPI Flash Estimate y/y
medium,0.8%,EUR,Wed,5:00am,2017-01-04,Core CPI Flash Estimate y/y
low,0.3%,EUR,Wed,5:00am,2017-01-04,Italian Prelim CPI m/m
low,,AUD,Wed,5:30pm,2017-01-04,AIG Services Index
low,22.3%,JPY,Wed,6:50pm,2017-01-04,Monetary Base y/y
medium,53.3,CNY,Wed,8:45pm,2017-01-04,Caixin Services PMI
low,17.8M,USD,Wed,All Day,2017-01-04,Total Vehicle Sales
high,56.6,USD,Thu,10:00am,2017-01-05,ISM Non-Manufacturing PMI
low,-97B,USD,Thu,10:30am,2017-01-05,Natural Gas Storage
high,-1.8M,USD,Thu,11:00am,2017-01-05,Crude Oil Inventories
low,-0.1%,CHF,Thu,3:15am,2017-01-05,CPI m/m
low,,EUR,Thu,4:10am,2017-01-05,Retail PMI
high,54.8,GBP,Thu,4:30am,2017-01-05,Services PMI
low,,EUR,Thu,4:50am,2017-01-05,Spanish 10-y Bond Auction
low,0.2%,EUR,Thu,5:00am,2017-01-05,PPI m/m
low,,EUR,Thu,5:03am,2017-01-05,French 10-y Bond Auction
low,0.2%,JPY,Thu,7:00pm,2017-01-05,Average Cash Earnings y/y
low,,USD,Thu,7:30am,2017-01-05,Challenger Job Cuts y/y
medium,-0.55B,AUD,Thu,7:30pm,2017-01-05,Trade Balance
medium,,GBP,Thu,8:00am,2017-01-05,MPC Member Haldane Speaks
high,171K,USD,Thu,8:15am,2017-01-05,ADP Non-Farm Employment Change
medium,-1.5%,CAD,Thu,8:30am,2017-01-05,RMPI m/m
